,title,genre,votes,rating,release_year,plot,poster,imdb_id
75,Before We Go,Comedy,48623.0,6.8,2014,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,"https://m.media-amazon.com/images/M/MV5BOTMxNzE0NjY4NV5BMl5BanBnXkFtZTgwMjIxNjIzNjE@._V1_UX182_CR0,0,182,268_AL_.jpg",
76,Non-Stop,Action,242556.0,6.9,2014,"An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account,or someone will die every 20 minutes.","https://m.media-amazon.com/images/M/MV5BOTI3NzcxMjkzMl5BMl5BanBnXkFtZTgwMDY0NTQ0MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",
77,That Awkward Moment,Comedy,95104.0,6.1,2014,Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide 'So...where is this going?',"https://m.media-amazon.com/images/M/MV5BMjExODEyMjMwNV5BMl5BanBnXkFtZTgwMTAyODM1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",
78,Vincent,Short,18284.0,8.4,1982,,,
79,Blended,Comedy,89403.0,6.5,2014,,,
80,The Guest,Action,65590.0,6.7,2014,,,
81,The Other Woman,Comedy,106752.0,6.0,2014,,,
82,Left Behind,Action,25659.0,3.1,2014,,,
83,Annie,Comedy,25486.0,5.3,2014,,,
84,Cybernatural (aka Unfriended),Horror,65166.0,5.5,2014,"A group of online chat room friends find themselves haunted by a mysterious,supernatural force using the account of their dead friend.","https://m.media-amazon.com/images/M/MV5BMzdlNWI2MjYtMWY3ZC00N2EzLWIzNTgtZDY2NGI4OTY3Yzc5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UX182_CR0,0,182,268_AL_.jpg",
85,The Gambler,Crime,62581.0,6.0,2014,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation,is his relationship with one of his students. Will Bennett risk his life for a second chance?","https://m.media-amazon.com/images/M/MV5BMjA5MjIzODE3N15BMl5BanBnXkFtZTgwNzUwNzYwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg",
86,The Salvation,Drama,24481.0,6.8,2014,,,
87,A Million Ways to Die in the West,Comedy,138651.0,6.1,2014,,,
88,Testament of Youth,Biography,15500.0,7.3,2014,,,
89,Hunt for the Wilderpeople,Adventure,22696.0,8.0,2016,,,
90,Transcendence,Drama,176429.0,6.3,2014,,,
91,Sex Tape,Comedy,86018.0,5.1,2014,,,
92,Honeytrap,Crime,325.0,5.6,2014,,,
93,X+Y,Drama,19609.0,7.2,2014,,,
94,Creep,Horror,14696.0,6.2,2014,,,
95,The Drop,Crime,109038.0,7.1,2014,,,
96,Ich seh ich seh,Drama,22916.0,6.7,2014,,,
97,Eliza Graves,Drama,36059.0,6.8,2014,,,
98,Horrible Bosses 2,Comedy,117742.0,6.3,2014,,,
99,Jack Ryan: Shadow Recruit,Action,100550.0,6.2,2014,,,
100,Man Down,Drama,414.0,6.5,2015,,,
102,The Revenant,Adventure,441653.0,8.1,2015,,,
103,Joy,Biography,83047.0,6.6,2015,,,
104,Spectre,Action,287494.0,6.8,2015,,,
105,The VVitch: A New-England Folktale,Horror,79688.0,6.7,2015,,,
106,The Big Short,Biography,206783.0,7.8,2015,,,
107,Jurassic World,Action,429565.0,7.0,2015,,,
108,Mad Max: Fury Road,Action,578046.0,8.1,2015,,,
109,The Martian,Adventure,506641.0,8.0,2015,,,
110,The Hateful Eight,Crime,294908.0,7.9,2015,,,
111,The Danish Girl,Biography,92054.0,7.0,2015,,,
112,Sicario,Action,212880.0,7.6,2015,,,
113,Avengers: Age of Ultron,Action,479512.0,7.5,2015,,,
114,Spotlight,Biography,220052.0,8.1,2015,,,
115,Room,Drama,182004.0,8.2,2015,,,
116,Fifty Shades of Grey,Drama,224710.0,4.1,2015,,,
117,Ex Machina,Drama,304335.0,7.7,2015,,,
118,The Lobster,Comedy,90934.0,7.1,2015,,,
119,Mr. Right,Action,22752.0,6.3,2015,,,
120,Mission: Impossible - Rogue Nation,Action,241599.0,7.4,2015,,,
121,The Hunger Games: Mockingjay - Part 2,Adventure,179028.0,6.6,2015,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"https://m.media-amazon.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt1951266
122,P.S. I Love You,Drama,170878.0,7.1,2007,,,
123,Black Mass,Biography,123475.0,7.0,2015,,,
124,In the Heart of the Sea,Action,79623.0,6.9,2015,,,
125,By the Sea,Drama,9662.0,5.3,2015,,,
126,Knock Knock,Drama,47192.0,4.9,2015,,,
127,Inside Out,Animation,367848.0,8.2,2015,,,
128,Straight Outta Compton,Biography,127258.0,7.9,2015,,,
130,The Invitation,Thriller,28593.0,6.7,2015,,,
131,Brooklyn,Drama,82468.0,7.5,2015,,,
132,Bridge of Spies,Drama,192125.0,7.6,2015,,,
133,Cinderella,Drama,107389.0,7.0,2015,,,
134,Green Room,Crime,41386.0,7.1,2015,,,
135,Steve Jobs,Biography,102485.0,7.2,2015,,,
136,Krampus,Comedy,33237.0,6.2,2015,,,
137,Furious Seven,Action,284316.0,7.2,2015,,,
138,Crimson Peak,Drama,88501.0,6.6,2015,,,
139,Fathers & Daughters,Drama,12242.0,7.1,2015,,,
140,Terminator Genisys,Action,194182.0,6.5,2015,,,
141,Legends of Tomorrow,Action,42082.0,7.1,2016,,,
142,Spy,Action,176403.0,7.1,2015,,,
143,Eye in the Sky,Drama,44086.0,7.3,2015,,,
144,Everest,Adventure,142142.0,7.1,2015,,,
145,The Man Who Knew Infinity,Biography,18444.0,7.2,2015,,,
146,The Visit,Horror,70878.0,6.2,2015,,,
147,Carol,Drama,66848.0,7.2,2015,,,
148,Sister Sister,Comedy,8021.0,6.1,1994,,,
149,The Intern,Comedy,142646.0,7.2,2015,,,
150,Demolition,Drama,42400.0,7.0,2015,,,
151,Goosebumps,Adventure,51870.0,6.3,2015,,,
152,Hardcore Henry,Action,48460.0,6.8,2015,,,
153,Desierto,Drama,2618.0,5.8,2015,,,
154,The Unspoken,Thriller,423.0,4.9,2015,,,
155,Trainwreck,Comedy,98763.0,6.3,2015,,,
156,Creed,Drama,157387.0,7.7,2015,,,
157,Southpaw,Drama,154514.0,7.4,2015,,,
158,Victor Frankenstein,Drama,32516.0,6.0,2015,,,
159,Pitch Perfect 2,Comedy,101190.0,6.5,2015,,,
160,Colonia,Drama,22234.0,7.1,2015,,,
161,San Andreas,Action,152249.0,6.1,2015,,,
162,The Age of Adaline,Drama,99943.0,7.2,2015,,,
163,Point Break,Action,38527.0,5.3,2015,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented,sophisticated corporate heists.","https://m.media-amazon.com/images/M/MV5BMjIxNDkzOTAyNV5BMl5BanBnXkFtZTgwNjEyOTY3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",
164,Into the Forest,Drama,5638.0,6.0,2015,,,
165,Hotel Transylvania 2,Animation,61666.0,6.7,2015,,,
166,Pan,Adventure,43442.0,5.8,2015,,,
167,The Dressmaker,Drama,25597.0,7.1,2015,,,
168,Maze Runner: The Scorch Trials,Action,146153.0,6.4,2015,,,
169,Youth,Comedy,45576.0,7.4,2015,,,
170,Vacation,Adventure,69598.0,6.1,2015,,,
171,Bone Tomahawk,Adventure,38814.0,7.1,2015,,,
172,Scouts Guide to the Zombie Apocalypse,Action,28124.0,6.3,2015,,,
173,Tomorrowland,Action,132793.0,6.5,2015,,,
174,The Gift,Mystery,86698.0,7.1,2015,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,"https://m.media-amazon.com/images/M/MV5BMTQzMjM2NjM1Nl5BMl5BanBnXkFtZTgwMDM1MjQyNTE@._V1_UX182_CR0,0,182,268_AL_.jpg",
175,The Last Witch Hunter,Action,63434.0,6.0,2015,,,
176,Insurgent,Adventure,160386.0,6.3,2015,,,
177,The DUFF,Comedy,79071.0,6.5,2015,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier,more popular counterparts.","https://m.media-amazon.com/images/M/MV5BMTc3OTg3MDUwN15BMl5BanBnXkFtZTgwMTAwMTkxNDE@._V1_UX182_CR0,0,182,268_AL_.jpg",
178,The Good Dinosaur,Animation,68749.0,6.8,2015,,,
179,Focus,Comedy,155186.0,6.6,2015,,,
180,Jupiter Ascending,Action,142878.0,5.4,2015,,,
181,Fantastic Four,Action,114717.0,4.3,2015,,,
182,Concussion,Biography,51021.0,7.1,2015,,,
183,Muhammad: The Messenger of God,Biography,4266.0,8.1,2015,,,
184,Equals,Drama,10357.0,6.1,2015,,,
185,Magic Mike XXL,Comedy,39910.0,5.7,2015,,,
186,The Longest Ride,Drama,53050.0,7.1,2015,,,
187,Daddy's Home,Comedy,59706.0,6.1,2015,,,
188,Knight of Cups,Drama,14456.0,5.7,2015,,,
189,The Ridiculous 6,Comedy,28505.0,4.9,2015,,,
190,Ted 2,Comedy,123758.0,6.4,2015,,,
191,Minions,Animation,148448.0,6.4,2015,,,
192,Macbeth,Drama,37044.0,6.7,2015,,,
193,The Final Girls,Comedy,20599.0,6.6,2015,"A young woman grieving the loss of her mother,a famous scream queen from the 1980s,finds herself pulled into the world of her mom's most famous movie. Reunited,the women must fight off the film's maniacal killer.","https://m.media-amazon.com/images/M/MV5BMjI4Nzk2NzAzOV5BMl5BanBnXkFtZTgwNjI1NzY4NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt2118624
194,A Bigger Splash,Crime,10315.0,6.4,2015,,,
195,Chappie,Action,177519.0,6.9,2015,,,
196,En man som heter Ove,Comedy,7806.0,7.6,2015,,,
197,Doctor Strange,Action,71532.0,8.0,2016,,,
198,Jack Reacher: Never Go Back,Action,130230.0,6.1,2016,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,"https://m.media-amazon.com/images/M/MV5BODQ3ODQ3NDI4NV5BMl5BanBnXkFtZTgwMDY1Mzk5OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt3393786
199,Inferno,Action,28671.0,6.4,2016,,,
200,Sausage Party,Animation,61333.0,6.5,2016,,,
201,The Accountant,Action,27335.0,7.7,2016,,,
202,Nocturnal Animals,Drama,2060.0,8.1,2016,,,
204,Suicide Squad,Action,249658.0,6.6,2016,,,
205,Boo! A Madea Halloween,Comedy,1851.0,4.7,2016,,,
206,Split,Horror,331.0,8.1,2016,,,
207,Miss Peregrine's Home for Peculiar Children,Adventure,31522.0,7.0,2016,,,
208,Keeping Up with the Joneses,Action,1964.0,5.8,2016,,,
209,Hacksaw Ridge,Biography,6904.0,8.8,2016,,,
210,Trolls,Animation,3307.0,6.7,2016,,,
211,Captain Fantastic,Comedy,30203.0,8.0,2016,,,
212,Star Trek Beyond,Action,111125.0,7.2,2016,,,
213,Bad Moms,Comedy,30510.0,6.3,2016,,,
214,Ghostbusters,Action,111399.0,5.4,2016,,,
215,Arrival,Drama,2396.0,8.5,2016,,,
216,Don't Breathe,Crime,55841.0,7.3,2016,,,
217,Nerve,Adventure,37601.0,6.7,2016,,,
218,Finding Dory,Animation,87660.0,7.6,2016,,,
219,Gods of Egypt,Action,60592.0,5.5,2016,,,
220,X-Men: Apocalypse,Action,210509.0,7.2,2016,,,
221,Deadpool,Action,533503.0,8.1,2016,,,
222,Independence Day: Resurgence,Action,93353.0,5.4,2016,,,
223,The BFG,Adventure,21997.0,6.6,2016,,,
224,Anthropoid,Biography,8307.0,7.3,2016,,,
225,The Magnificent Seven,Action,35670.0,7.1,2016,,,
226,Deepwater Horizon,Action,19531.0,7.5,2016,,,
227,The Infiltrator,Biography,20436.0,7.1,2016,,,
228,Lights Out,Horror,43426.0,6.5,2016,,,
229,In a Valley of Violence,Western,1942.0,6.0,2016,,,
230,Zootopia,Animation,216939.0,8.1,2016,,,
231,The Legend of Tarzan,Action,80332.0,6.4,2016,,,
232,Warcraft,Action,154327.0,7.1,2016,,,
233,Captain America: Civil War,Action,627228.0,7.8,2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_UX182_CR0,0,182,268_AL_.jpg",
234,Billy Lynn's Long Halftime Walk,Drama,348.0,6.4,2016,,,
235,Moonlight,Drama,2184.0,8.7,2016,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood,adolescence,and burgeoning adulthood.",https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,
236,American Pastoral,Crime,742.0,6.2,2016,,,
237,Me Before You,Drama,82868.0,7.5,2016,,,
238,Batman v Superman: Dawn of Justice,Action,415255.0,6.8,2016,,,
239,Alice Through the Looking Glass,Adventure,37184.0,6.3,2016,,,
240,Shivaay,Action,4948.0,7.2,2016,,,
241,King Cobra,Crime,928.0,5.8,2016,"Veteran gay pornography producer Stephen battles two rival producers over the rights to his underage porn star creation,Brent Corrigan,with deadly results.",https://m.media-amazon.com/images/M/MV5BMTU1Njk2NzMxOF5BMl5BanBnXkFtZTgwMzY4ODUxMDI@._V1_SX300.jpg,
242,The Conjuring 2,Horror,108550.0,7.5,2016,,,
243,Sully,Biography,34289.0,7.9,2016,,,
244,Mike and Dave Need Wedding Dates,Adventure,30530.0,6.1,2016,,,
245,The Whole Truth,Drama,3888.0,6.0,2016,,,
246,Imperium,Crime,14516.0,6.5,2016,,,
247,Neruda,Biography,812.0,7.3,2016,,,
248,Masterminds,Action,3254.0,5.8,2016,,,
249,Nine Lives,Comedy,19857.0,5.3,2016,A stuffy businessman finds himself trapped inside the body of his family's cat.,"https://m.media-amazon.com/images/M/MV5BMzEzMjkwMjc3NV5BMl5BanBnXkFtZTgwMzc0NjY5ODE@._V1_UX182_CR0,0,182,268_AL_.jpg",
250,The Nice Guys,Action,116011.0,7.4,2016,,,
252,Central Intelligence,Action,66143.0,6.4,2016,,,
253,The Siege of Jadotville,Action,6428.0,7.4,2016,,,
254,The Shallows,Drama,54247.0,6.4,2016,,,
255,The Jungle Book,Adventure,151342.0,7.6,2016,,,
256,Blood Father,Action,25837.0,6.5,2016,,,
257,The Secret Life of Pets,Animation,63437.0,6.7,2016,,,
258,Storks,Animation,5798.0,7.0,2016,,,
259,The Neon Demon,Horror,29895.0,6.4,2016,,,
260,Tokyo Zance,Comedy,5.0,5.4,2001,,,
261,Snowden,Biography,12257.0,7.4,2016,,,
262,The Purge: Election Year,Action,38837.0,6.0,2016,,,
263,Bleed for This,Biography,382.0,6.5,2016,,,
264,Now You See Me 2,Action,112664.0,6.5,2016,,,
265,Free State of Jones,Action,16935.0,6.9,2016,,,
266,Bridget Jones's Baby,Comedy,16892.0,7.3,2016,,,
267,Max Steel,Action,897.0,4.9,2016,,,
268,Teenage Mutant Ninja Turtles: Out of the Shadows,Action,45213.0,6.1,2016,,,
269,Mascots,Comedy,3147.0,5.9,2016,,,
270,Ah-ga-ssi,Drama,7135.0,8.1,2016,,,
271,Ice Age: Collision Course,Animation,21966.0,5.7,2016,,,
272,13 Hours,Action,59515.0,7.3,2016,,,
273,La La Land,Comedy,1473.0,8.6,2016,,,
274,I'm Not Ashamed,Biography,345.0,6.1,2016,,,
275,The Edge of Seventeen,Comedy,305.0,7.7,2016,,,
276,Jason Bourne,Action,87772.0,6.8,2016,,,
277,American Honey,Drama,2493.0,7.5,2016,,,
278,Mechanic: Resurrection,Action,18817.0,5.7,2016,,,
279,Busanhaeng,Action,22742.0,7.6,2016,,,
280,Grimsby,Action,50897.0,6.2,2016,,,
281,Hell or High Water,Crime,15385.0,8.2,2016,,,
282,10 Cloverfield Lane,Drama,149415.0,7.3,2016,,,
283,The Finest Hours,Action,34666.0,6.8,2016,,,
284,Top Gun,Action,273458.0,6.9,1986,"As students at the United States Navy's elite fighter weapons school compete to be best in the class,one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,
295,Guardians of the Galaxy Vol. 2,Action,531435.0,7.6,2017,The Guardians struggle to keep together as a team while dealing with their personal family issues notably Star-Lord's encounter with his father the ambitious celestial being Ego.,https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_SX300.jpg,tt3896198
286,Battle for the Lost Planet (Galaxy),Action,263.0,4.3,2017,"After hijacking a space shuttle,a spy finds that the controls are malfunctioning and sees alien battleships approaching Earth. Many years later,when the arc of his flight path returns to earth,he finds the planet under alien domination.","https://m.media-amazon.com/images/M/MV5BOTBhMGNhMTUtNTUwNS00NmYwLWI1ZmEtZWVlMTU4NDE3ZTFhXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_UX182_CR0,0,182,268_AL_.jpg",
290,Star Wars: Episode I - The Phantom Menace,Action,698056.0,6.5,1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force,but the long dormant Sith resurface to claim their old glory.","https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",tt0120915
291,Star Wars: Episode II - Attack of the Clones,Action,618036.0,6.5,2002,"Ten years after initially meeting,Anakin Skywalker shares a forbidden romance with Padmé Amidala,while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UX182_CR0,0,182,268_AL_.jpg",tt0121765
292,Star Wars: Episode III - Revenge of the Sith,Action,679858.0,7.5,2005,"Three years into the Clone Wars,the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat,Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_UY268_CR9,0,182,268_AL_.jpg",tt0121766
288,Star Wars: Episode IV - A New Hope,Action,1181515.0,8.6,1977,"Luke Skywalker joins forces with a Jedi Knight,a cocky pilot,a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station,while also attempting to rescue Princess Leia from the mysterious Darth Vader.","https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",tt0076759
293,Star Wars: Episode V - The Empire Strikes Back,Action,1109656.0,8.7,1980,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0080684
294,Star Wars: Episode VI - Return of the Jedi,Action,906260.0,8.3,1983,After a daring mission to rescue Han Solo from Jabba the Hutt the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.,https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,tt0086190
101,Star Wars: Episode VII - The Force Awakens,Action,831843.0,7.9,2015,"Three decades after the Empire's defeat,a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.","https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_UX182_CR0,0,182,268_AL_.jpg",tt2488496
